,Descripción de productos,Unidad de Medida,Cantidad Mensual de Consenso,Precios,Córdobas,Fecha
41, Calcetines,Par,1.3198798072969047,35.53,46.895329553259025,2024-01-01
42," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,554.74,239.7648985975713,2024-01-01
43, Blusa manga corta ,Unidad,0.66,170.26,112.3716,2024-01-01
44, Pantalón largo de tela de jeans ,Unidad,0.51,547.55,279.2505,2024-01-01
45, Vestido entero ,Unidad,0.5,298.83,149.415,2024-01-01
46, Calzones/ Bikinis,Unidad,1.23,55.49,68.2527,2024-01-01
47, Brassier/ sostén,Unidad,0.97,72.1,69.937,2024-01-01
48, Sandalias de cuero sintético ,Par,0.44,290.03,127.61319999999999,2024-01-01
49, Traje completo,Unidad,0.5019645078350022,376.11,188.7938710418227,2024-01-01
50, Calzones,Unidad,1.4326365541172035,38.78,55.55764556866515,2024-01-01
51, Calcetines,Par,1.3882846737113883,30.65,42.55092524925405,2024-01-01
52, Zapato de cuero sintético ,Par,0.44713223086502013,377.73,168.89525756464406,2024-01-01
53,Arroz ,Libra,38,18.98,721.24,2024-02-01
54,Frijol ,Libra,34,34.1,1159.4,2024-02-01
55,Azúcar ,Libra,30,15.35,460.5,2024-02-01
56,Aceite ,Litro,7,61.14,427.98,2024-02-01
57,Posta de res,Libra,8,142.54,1140.32,2024-02-01
58,Posta de cerdo,Libra,5,90.19,450.95,2024-02-01
59,Carne de aves,Libra,8,60.15,481.2,2024-02-01
60,Chuleta de pescado,Libra,9,99.11,891.99,2024-02-01
61,Leche ,Litro,30,39.93,1197.9,2024-02-01
62,Huevos,Docena,7,74.22,519.54,2024-02-01
63,Queso seco,Libra,9,135.12,1216.08,2024-02-01
64,Tortilla ,Libra,57,23,1311,2024-02-01
65,Pinolillo,Libra,10,38.12,381.2,2024-02-01
66,Pastas alimenticias  ,Libra,5,44.62,223.1,2024-02-01
67,Pan ,Libra,27,31.8,858.6,2024-02-01
68,Tomate de cocinar,Libra,14,21.79,305.06,2024-02-01
69,Cebolla blanca,Libra,8,38.78,310.24,2024-02-01
70,Papas,Libra,15,40.72,610.8,2024-02-01
71,Ayote,Libra,32,10.08,322.56,2024-02-01
72,Chiltoma ,Libra,3,46.75,140.25,2024-02-01
73,Plátano verde,Libra,16,16.3,260.8,2024-02-01
74,Naranja ,Libra,46,14.78,679.88,2024-02-01
75,Repollo,Libra,2,12.27,24.54,2024-02-01
76,Jabón de lavar ropa,Unidad,12.55,27.03,339.22650000000004,2024-02-01
77,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.644333093993701,101.93199663900381,2024-02-01
78,Pasta dental,Unidad de 115 grs ,2.13,45.76,97.46879999999999,2024-02-01
79,Fósforos,Cajita de 40 cerillos,10.87,2.52,27.3924,2024-02-01
80,Escoba ,Unidad,1.22,79.28,96.7216,2024-02-01
81,Papel higiénico,Rollos,10.71,21.32,228.33720000000002,2024-02-01
82,Jabón de baño,Unidad,4.67,15.04,70.23679999999999,2024-02-01
83,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.98,61.8358,2024-02-01
84,Desodorante nacional,Unidad,1.9,58.19,110.56099999999999,2024-02-01
85,Cepillo dental,Unidad,2.49,20.77,51.7173,2024-02-01
86,Alquiler,Valor (C$) mensual,1,900,900,2024-02-01
87,Gas butano , 25 libras,1,436,436,2024-02-01
88,Luz eléctrica,KWH,100,3.2454565000000004,324.54565,2024-02-01
89,Agua,Galones,5292,0.0311988117200302,165.1041116223998,2024-02-01
90,Transporte ,Pasaje,240,2.5,600,2024-02-01
91, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,507.48,315.2923005325646,2024-02-01
92, Camisa manga corta ,Unidad,0.6600037006796985,175.86,116.06825080153179,2024-02-01
93, Calzoncillos,Unidad,1.56501893310219,61.73,96.60861874039819,2024-02-01
94, Calcetines,Par,1.3198798072969047,35.83,47.291293495448095,2024-02-01
95," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,553.78,239.34997574604864,2024-02-01
96, Blusa manga corta ,Unidad,0.66,178.53,117.8298,2024-02-01
97, Pantalón largo de tela de jeans ,Unidad,0.51,546.17,278.5467,2024-02-01
98, Vestido entero ,Unidad,0.5,302.82,151.41,2024-02-01
99, Calzones/ Bikinis,Unidad,1.23,57.56,70.7988,2024-02-01
100, Brassier/ sostén,Unidad,0.97,74.92,72.6724,2024-02-01
101, Sandalias de cuero sintético ,Par,0.44,291.79,128.38760000000002,2024-02-01
102, Traje completo,Unidad,0.5019645078350022,385.47,193.49225883515834,2024-02-01
103, Calzones,Unidad,1.4326365541172035,39.04,55.93013107273562,2024-02-01
104, Calcetines,Par,1.3882846737113883,31.93,44.327929631604626,2024-02-01
105, Zapato de cuero sintético ,Par,0.44713223086502013,388.74,173.81818342646793,2024-02-01
106,Arroz ,Libra,38,17.84,677.92,2023-01-01
107,Frijol ,Libra,34,36.52,1241.68,2023-01-01
108,Azúcar ,Libra,30,14.28,428.4,2023-01-01
109,Aceite ,Litro,7,70.22,491.53999999999996,2023-01-01
110,Posta de res,Libra,8,140.29,1122.32,2023-01-01
111,Posta de cerdo,Libra,5,88.31,441.55,2023-01-01
112,Carne de aves,Libra,8,56.15,449.2,2023-01-01
113,Chuleta de pescado,Libra,9,98.2,883.8000000000001,2023-01-01
114,Leche ,Litro,30,36.6,1098,2023-01-01
115,Huevos,Docena,7,70.21,491.46999999999997,2023-01-01
116,Queso seco,Libra,9,119.97,1079.73,2023-01-01
117,Tortilla ,Libra,57,24.11,1374.27,2023-01-01
118,Pinolillo,Libra,10,34,340,2023-01-01
119,Pastas alimenticias  ,Libra,5,41.7,208.5,2023-01-01
120,Pan ,Libra,27,28.75,776.25,2023-01-01
121,Tomate de cocinar,Libra,14,22.04,308.56,2023-01-01
122,Cebolla blanca,Libra,8,37.06,296.48,2023-01-01
123,Papas,Libra,15,46.11,691.65,2023-01-01
124,Ayote,Libra,32,9.69,310.08,2023-01-01
125,Chiltoma ,Libra,3,46.24,138.72,2023-01-01
126,Plátano verde,Libra,16,15.63,250.08,2023-01-01
127,Naranja ,Libra,46,9.96,458.16,2023-01-01
128,Repollo,Libra,2,9.04,18.08,2023-01-01
129,Jabón de lavar ropa,Unidad,12.55,24.7,309.985,2023-01-01
130,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.53633655374255,98.91133340817912,2023-01-01
131,Pasta dental,Unidad de 115 grs ,2.13,40.9,87.11699999999999,2023-01-01
132,Fósforos,Cajita de 40 cerillos,10.87,2.01,21.848699999999997,2023-01-01
133,Escoba ,Unidad,1.22,76.15,92.903,2023-01-01
134,Papel higiénico,Rollos,10.71,19.32,206.9172,2023-01-01
135,Jabón de baño,Unidad,4.67,14.23,66.4541,2023-01-01
136,Toallas sanitarias ,Bolsa de 10 unid,2.21,26.46,58.4766,2023-01-01
137,Desodorante nacional,Unidad,1.9,47.73,90.68699999999998,2023-01-01
138,Cepillo dental,Unidad,2.49,18.94,47.16060000000001,2023-01-01
139,Alquiler,Valor (C$) mensual,1,900,900,2023-01-01
140,Gas butano , 25 libras,1,436,436,2023-01-01
141,Luz eléctrica,KWH,100,3.2160552499999997,321.60552499999994,2023-01-01
142,Agua,Galones,5292,0.03085997319395314,163.31097814240002,2023-01-01
143,Transporte ,Pasaje,240,2.5,600,2023-01-01
144, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,479.64,297.99558411649576,2023-01-01
145, Camisa manga corta ,Unidad,0.6600037006796985,155.73,102.78237630684944,2023-01-01
146, Calzoncillos,Unidad,1.56501893310219,55.19,86.37339491790986,2023-01-01
147, Calcetines,Par,1.3198798072969047,31.85,42.038171862406415,2023-01-01
148," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,494.71,213.8192540382963,2023-01-01
149, Blusa manga corta ,Unidad,0.66,153.18,101.09880000000001,2023-01-01
150, Pantalón largo de tela de jeans ,Unidad,0.51,525.73,268.1223,2023-01-01
151, Vestido entero ,Unidad,0.5,291.46,145.73,2023-01-01
152, Calzones/ Bikinis,Unidad,1.23,48.51,59.6673,2023-01-01
153, Brassier/ sostén,Unidad,0.97,66.28,64.2916,2023-01-01
154, Sandalias de cuero sintético ,Par,0.44,283.43,124.70920000000001,2023-01-01
155, Traje completo,Unidad,0.5019645078350022,362.46,181.9420555098749,2023-01-01
156, Calzones,Unidad,1.4326365541172035,36.98,52.97889977125418,2023-01-01
157, Calcetines,Par,1.3882846737113883,28.1,39.010799331290016,2023-01-01
158, Zapato de cuero sintético ,Par,0.44713223086502013,368.47,164.75481310683398,2023-01-01
159,Arroz ,Libra,38,17.94,681.72,2023-02-01
160,Frijol ,Libra,34,36.38,1236.92,2023-02-01
161,Azúcar ,Libra,30,14.4,432,2023-02-01
162,Aceite ,Litro,7,66.51,465.57000000000005,2023-02-01
163,Posta de res,Libra,8,140.6,1124.8,2023-02-01
164,Posta de cerdo,Libra,5,89.4,447,2023-02-01
165,Carne de aves,Libra,8,57.06,456.48,2023-02-01
166,Chuleta de pescado,Libra,9,98.73,888.57,2023-02-01
167,Leche ,Litro,30,37.09,1112.7,2023-02-01
168,Huevos,Docena,7,68.67,480.69,2023-02-01
169,Queso seco,Libra,9,125.34,1128.06,2023-02-01
170,Tortilla ,Libra,57,25.32,1443.24,2023-02-01
171,Pinolillo,Libra,10,35.25,352.5,2023-02-01
172,Pastas alimenticias  ,Libra,5,42.54,212.7,2023-02-01
173,Pan ,Libra,27,31.830000000000002,859.4100000000001,2023-02-01
174,Tomate de cocinar,Libra,14,17.14,239.96,2023-02-01
175,Cebolla blanca,Libra,8,36.54,292.32,2023-02-01
176,Papas,Libra,15,36.06,540.9000000000001,2023-02-01
177,Ayote,Libra,32,8.9,284.8,2023-02-01
178,Chiltoma ,Libra,3,39.31,117.93,2023-02-01
179,Plátano verde,Libra,16,16.19,259.04,2023-02-01
180,Naranja ,Libra,46,10.3,473.8,2023-02-01
181,Repollo,Libra,2,7.41,14.82,2023-02-01
182,Jabón de lavar ropa,Unidad,12.55,25.080000000000002,314.754,2023-02-01
183,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.619296504719586,101.23172323700682,2023-02-01
184,Pasta dental,Unidad de 115 grs ,2.13,40.980000000000004,87.2874,2023-02-01
185,Fósforos,Cajita de 40 cerillos,10.87,2.12,23.0444,2023-02-01
186,Escoba ,Unidad,1.22,76.64,93.5008,2023-02-01
187,Papel higiénico,Rollos,10.71,19.85,212.59350000000003,2023-02-01
188,Jabón de baño,Unidad,4.67,13.950000000000001,65.1465,2023-02-01
189,Toallas sanitarias ,Bolsa de 10 unid,2.21,26.77,59.161699999999996,2023-02-01
190,Desodorante nacional,Unidad,1.9,47.86,90.934,2023-02-01
191,Cepillo dental,Unidad,2.49,19.16,47.708400000000005,2023-02-01
192,Alquiler,Valor (C$) mensual,1,900,900,2023-02-01
193,Gas butano , 25 libras,1,436,436,2023-02-01
194,Luz eléctrica,KWH,100,3.218496,321.8496,2023-02-01
195,Agua,Galones,5292,0.031198811720030237,165.1041116224,2023-02-01
196,Transporte ,Pasaje,240,2.5,600,2023-02-01
197, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,481.62,299.2257385167765,2023-02-01
198, Camisa manga corta ,Unidad,0.6600037006796985,156.73,103.44238000752914,2023-02-01
199, Calzoncillos,Unidad,1.56501893310219,56.160000000000004,87.891463283019,2023-02-01
200, Calcetines,Par,1.3198798072969047,31.77,41.93258147782266,2023-02-01
201," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,498.51,215.46165699224008,2023-02-01
202, Blusa manga corta ,Unidad,0.66,155.66,102.7356,2023-02-01
203, Pantalón largo de tela de jeans ,Unidad,0.51,526.3,268.41299999999995,2023-02-01
204, Vestido entero ,Unidad,0.5,291.47,145.735,2023-02-01
205, Calzones/ Bikinis,Unidad,1.23,49.61,61.0203,2023-02-01
206, Brassier/ sostén,Unidad,0.97,67.88,65.8436,2023-02-01
207, Sandalias de cuero sintético ,Par,0.44,285.03000000000003,125.41320000000002,2023-02-01
208, Traje completo,Unidad,0.5019645078350022,364.53000000000003,182.98112204109339,2023-02-01
209, Calzones,Unidad,1.4326365541172035,36.18,51.83279052796042,2023-02-01
210, Calcetines,Par,1.3882846737113883,27.39,38.025117212954925,2023-02-01
211, Zapato de cuero sintético ,Par,0.44713223086502013,368.17,164.62067343757448,2023-02-01
212,Arroz ,Libra,38,18.01,684.3800000000001,2023-03-01
213,Frijol ,Libra,34,34.92,1187.28,2023-03-01
214,Azúcar ,Libra,30,14.4,432,2023-03-01
215,Aceite ,Litro,7,64.05,448.34999999999997,2023-03-01
216,Posta de res,Libra,8,144.09,1152.72,2023-03-01
217,Posta de cerdo,Libra,5,89.33,446.65,2023-03-01
218,Carne de aves,Libra,8,57.51,460.08,2023-03-01
219,Chuleta de pescado,Libra,9,98.66,887.9399999999999,2023-03-01
220,Leche ,Litro,30,37.82,1134.6,2023-03-01
221,Huevos,Docena,7,69.74,488.17999999999995,2023-03-01
222,Queso seco,Libra,9,128.83,1159.47,2023-03-01
223,Tortilla ,Libra,57,26.150000000000002,1490.5500000000002,2023-03-01
224,Pinolillo,Libra,10,35.52,355.20000000000005,2023-03-01
225,Pastas alimenticias  ,Libra,5,42.78,213.9,2023-03-01
226,Pan ,Libra,27,32.12,867.2399999999999,2023-03-01
227,Tomate de cocinar,Libra,14,15.05,210.70000000000002,2023-03-01
228,Cebolla blanca,Libra,8,32.63,261.04,2023-03-01
229,Papas,Libra,15,28.01,420.15000000000003,2023-03-01
230,Ayote,Libra,32,8.63,276.16,2023-03-01
231,Chiltoma ,Libra,3,39.49,118.47,2023-03-01
232,Plátano verde,Libra,16,16.78,268.48,2023-03-01
233,Naranja ,Libra,46,10.91,501.86,2023-03-01
234,Repollo,Libra,2,6.37,12.74,2023-03-01
235,Jabón de lavar ropa,Unidad,12.55,25.490000000000002,319.89950000000005,2023-03-01
236,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.6535142154423426,102.18879260592232,2023-03-01
237,Pasta dental,Unidad de 115 grs ,2.13,40.93,87.1809,2023-03-01
238,Fósforos,Cajita de 40 cerillos,10.87,2.08,22.6096,2023-03-01
239,Escoba ,Unidad,1.22,77.01,93.9522,2023-03-01
240,Papel higiénico,Rollos,10.71,19.59,209.80890000000002,2023-03-01
241,Jabón de baño,Unidad,4.67,13.39,62.5313,2023-03-01
242,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.05,59.7805,2023-03-01
243,Desodorante nacional,Unidad,1.9,47.79,90.80099999999999,2023-03-01
244,Cepillo dental,Unidad,2.49,19.13,47.633700000000005,2023-03-01
245,Alquiler,Valor (C$) mensual,1,900,900,2023-03-01
246,Gas butano , 25 libras,1,436,436,2023-03-01
247,Luz eléctrica,KWH,100,3.221201000000001,322.1201000000001,2023-03-01
248,Agua,Galones,5292,0.031198811720030237,165.1041116224,2023-03-01
249,Transporte ,Pasaje,240,2.5,600,2023-03-01
250, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,483.03000000000003,300.1017575594007,2023-03-01
251, Camisa manga corta ,Unidad,0.6600037006796985,156.73,103.44238000752914,2023-03-01
252, Calzoncillos,Unidad,1.56501893310219,56.160000000000004,87.891463283019,2023-03-01
253, Calcetines,Par,1.3198798072969047,31.92,42.1305634489172,2023-03-01
254," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,498.51,215.46165699224008,2023-03-01
255, Blusa manga corta ,Unidad,0.66,155.43,102.58380000000001,2023-03-01
256, Pantalón largo de tela de jeans ,Unidad,0.51,562.51,286.8801,2023-03-01
257, Vestido entero ,Unidad,0.5,295.23,147.615,2023-03-01
258, Calzones/ Bikinis,Unidad,1.23,49.67,61.094100000000005,2023-03-01
259, Brassier/ sostén,Unidad,0.97,68.66,66.6002,2023-03-01
260, Sandalias de cuero sintético ,Par,0.44,285.03000000000003,125.41320000000002,2023-03-01
261, Traje completo,Unidad,0.5019645078350022,362.17,181.79648580260277,2023-03-01
262, Calzones,Unidad,1.4326365541172035,36.97,52.96457340571301,2023-03-01
263, Calcetines,Par,1.3882846737113883,27.990000000000002,38.858088017181764,2023-03-01
264, Zapato de cuero sintético ,Par,0.44713223086502013,364.26,162.87238641489222,2023-03-01
265,Arroz ,Libra,38,18.41,699.58,2023-04-01
266,Frijol ,Libra,34,34.91,1186.9399999999998,2023-04-01
267,Azúcar ,Libra,30,14.54,436.2,2023-04-01
268,Aceite ,Litro,7,62.33,436.31,2023-04-01
269,Posta de res,Libra,8,143.86,1150.88,2023-04-01
270,Posta de cerdo,Libra,5,88.59,442.95000000000005,2023-04-01
271,Carne de aves,Libra,8,59.65,477.2,2023-04-01
272,Chuleta de pescado,Libra,9,98.79,889.11,2023-04-01
273,Leche ,Litro,30,38.23,1146.8999999999999,2023-04-01
274,Huevos,Docena,7,70.03,490.21000000000004,2023-04-01
275,Queso seco,Libra,9,134.82,1213.3799999999999,2023-04-01
276,Tortilla ,Libra,57,28.16,1605.1200000000001,2023-04-01
277,Pinolillo,Libra,10,35.66,356.59999999999997,2023-04-01
278,Pastas alimenticias  ,Libra,5,43.1,215.5,2023-04-01
279,Pan ,Libra,27,33.06,892.6200000000001,2023-04-01
280,Tomate de cocinar,Libra,14,14.24,199.36,2023-04-01
281,Cebolla blanca,Libra,8,34.33,274.64,2023-04-01
282,Papas,Libra,15,25.68,385.2,2023-04-01
283,Ayote,Libra,32,8.3,265.6,2023-04-01
284,Chiltoma ,Libra,3,39.33,117.99,2023-04-01
285,Plátano verde,Libra,16,16.35,261.6,2023-04-01
286,Naranja ,Libra,46,12.19,560.74,2023-04-01
287,Repollo,Libra,2,6.97,13.94,2023-04-01
288,Jabón de lavar ropa,Unidad,12.55,25.79,323.66450000000003,2023-04-01
289,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.6187411187183245,101.21618909055154,2023-04-01
290,Pasta dental,Unidad de 115 grs ,2.13,41.28,87.9264,2023-04-01
291,Fósforos,Cajita de 40 cerillos,10.87,2.15,23.370499999999996,2023-04-01
292,Escoba ,Unidad,1.22,77.32,94.33039999999998,2023-04-01
293,Papel higiénico,Rollos,10.71,19.79,211.95090000000002,2023-04-01
294,Jabón de baño,Unidad,4.67,14.86,69.3962,2023-04-01
295,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.07,59.8247,2023-04-01
296,Desodorante nacional,Unidad,1.9,48.11,91.40899999999999,2023-04-01
297,Cepillo dental,Unidad,2.49,19.22,47.857800000000005,2023-04-01
298,Alquiler,Valor (C$) mensual,1,900,900,2023-04-01
299,Gas butano , 25 libras,1,436,436,2023-04-01
300,Luz eléctrica,KWH,100,3.2238415,322.38415,2023-04-01
301,Agua,Galones,5292,0.031198811720030237,165.1041116224,2023-04-01
302,Transporte ,Pasaje,240,2.5,600,2023-04-01
303, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,485.96,301.92213755577575,2023-04-01
304, Camisa manga corta ,Unidad,0.6600037006796985,158.75,104.77558748290214,2023-04-01
305, Calzoncillos,Unidad,1.56501893310219,56.44,88.3296685842876,2023-04-01
306, Calcetines,Par,1.3198798072969047,31.97,42.19655743928204,2023-04-01
307," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,498.51,215.46165699224008,2023-04-01
308, Blusa manga corta ,Unidad,0.66,156.24,103.11840000000001,2023-04-01
309, Pantalón largo de tela de jeans ,Unidad,0.51,563.66,287.46659999999997,2023-04-01
310, Vestido entero ,Unidad,0.5,295.41,147.705,2023-04-01
311, Calzones/ Bikinis,Unidad,1.23,49.99,61.487700000000004,2023-04-01
312, Brassier/ sostén,Unidad,0.97,68.66,66.6002,2023-04-01
313, Sandalias de cuero sintético ,Par,0.44,285.03,125.41319999999999,2023-04-01
314, Traje completo,Unidad,0.5019645078350022,362.17,181.79648580260277,2023-04-01
315, Calzones,Unidad,1.4326365541172035,37.09,53.13648979220708,2023-04-01
316, Calcetines,Par,1.3882846737113883,27.99,38.85808801718176,2023-04-01
317, Zapato de cuero sintético ,Par,0.44713223086502013,364.26,162.87238641489222,2023-04-01
318,Arroz ,Libra,38,18.42,699.96,2023-05-01
319,Frijol ,Libra,34,35.35,1201.9,2023-05-01
320,Azúcar ,Libra,30,14.52,435.59999999999997,2023-05-01
321,Aceite ,Litro,7,60.22,421.53999999999996,2023-05-01
322,Posta de res,Libra,8,141.01,1128.08,2023-05-01
323,Posta de cerdo,Libra,5,89.63,448.15,2023-05-01
324,Carne de aves,Libra,8,61.34,490.72,2023-05-01
325,Chuleta de pescado,Libra,9,97.98,881.82,2023-05-01
326,Leche ,Litro,30,38.480000000000004,1154.4,2023-05-01
327,Huevos,Docena,7,70.51,493.57000000000005,2023-05-01
328,Queso seco,Libra,9,140.38,1263.42,2023-05-01
329,Tortilla ,Libra,57,26.67,1520.19,2023-05-01
330,Pinolillo,Libra,10,36.14,361.4,2023-05-01
331,Pastas alimenticias  ,Libra,5,42.58,212.89999999999998,2023-05-01
332,Pan ,Libra,27,31.28,844.5600000000001,2023-05-01
333,Tomate de cocinar,Libra,14,15.52,217.28,2023-05-01
334,Cebolla blanca,Libra,8,35.22,281.76,2023-05-01
335,Papas,Libra,15,22.54,338.09999999999997,2023-05-01
336,Ayote,Libra,32,9.34,298.88,2023-05-01
337,Chiltoma ,Libra,3,37.75,113.25,2023-05-01
338,Plátano verde,Libra,16,15.85,253.6,2023-05-01
339,Naranja ,Libra,46,13.42,617.32,2023-05-01
340,Repollo,Libra,2,9.84,19.68,2023-05-01
341,Jabón de lavar ropa,Unidad,12.55,26,326.3,2023-05-01
342,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.654427947665072,102.21434969619206,2023-05-01
343,Pasta dental,Unidad de 115 grs ,2.13,41.76,88.94879999999999,2023-05-01
344,Fósforos,Cajita de 40 cerillos,10.87,2.16,23.4792,2023-05-01
345,Escoba ,Unidad,1.22,76.87,93.7814,2023-05-01
346,Papel higiénico,Rollos,10.71,19.76,211.62960000000004,2023-05-01
347,Jabón de baño,Unidad,4.67,16.59,77.4753,2023-05-01
348,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.25,60.2225,2023-05-01
349,Desodorante nacional,Unidad,1.9,49.02,93.138,2023-05-01
350,Cepillo dental,Unidad,2.49,18.91,47.0859,2023-05-01
351,Alquiler,Valor (C$) mensual,1,900,900,2023-05-01
352,Gas butano , 25 libras,1,436,436,2023-05-01
353,Luz eléctrica,KWH,100,3.2240104999999994,322.40104999999994,2023-05-01
354,Agua,Galones,5292,0.031198811720030244,165.10411162240004,2023-05-01
355,Transporte ,Pasaje,240,2.5,600,2023-05-01
356, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,485.43,301.5928538021652,2023-05-01
357, Camisa manga corta ,Unidad,0.6600037006796985,161.58,106.64339795582569,2023-05-01
358, Calzoncillos,Unidad,1.56501893310219,56.75,88.81482445354928,2023-05-01
359, Calcetines,Par,1.3198798072969047,31.38,41.41782835297687,2023-05-01
360," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,513.51,221.9448265472813,2023-05-01
361, Blusa manga corta ,Unidad,0.66,156.74,103.4484,2023-05-01
362, Pantalón largo de tela de jeans ,Unidad,0.51,526.47,268.4997,2023-05-01
363, Vestido entero ,Unidad,0.5,289.52,144.76,2023-05-01
364, Calzones/ Bikinis,Unidad,1.23,50.370000000000005,61.9551,2023-05-01
365, Brassier/ sostén,Unidad,0.97,69.16,67.0852,2023-05-01
366, Sandalias de cuero sintético ,Par,0.44,283.44,124.7136,2023-05-01
367, Traje completo,Unidad,0.5019645078350022,353.31,177.34908026318465,2023-05-01
368, Calzones,Unidad,1.4326365541172035,37.06,53.09351069558356,2023-05-01
369, Calcetines,Par,1.3882846737113883,26.2,36.37305845123837,2023-05-01
370, Zapato de cuero sintético ,Par,0.44713223086502013,382.11,170.85369673583284,2023-05-01
371,Arroz ,Libra,38,18.51,703.3800000000001,2023-06-01
372,Frijol ,Libra,34,36.45,1239.3000000000002,2023-06-01
373,Azúcar ,Libra,30,14.74,442.2,2023-06-01
374,Aceite ,Litro,7,58.05,406.34999999999997,2023-06-01
375,Posta de res,Libra,8,145.95,1167.6,2023-06-01
376,Posta de cerdo,Libra,5,89.49,447.45,2023-06-01
377,Carne de aves,Libra,8,61.08,488.64,2023-06-01
378,Chuleta de pescado,Libra,9,98.44,885.96,2023-06-01
379,Leche ,Litro,30,38.76,1162.8,2023-06-01
380,Huevos,Docena,7,71.24,498.67999999999995,2023-06-01
381,Queso seco,Libra,9,135.31,1217.79,2023-06-01
382,Tortilla ,Libra,57,26.22,1494.54,2023-06-01
383,Pinolillo,Libra,10,36.11,361.1,2023-06-01
